" ";j2,j4,j6,j8,j10,j12,j14,j16,j18,j20,j22,j24,j26,g2,g4,g6,g8,g10,g12,g14,g16,g18,g20,g22,g24,g26,f2,f4,f6,f8,f10,f12,f14,f16,f18,f20,f22,f24,f26,a2,a4,a6,a8,a10,a12,a14,a16,a18,a20,a22,a24,a26,s2,s4,s6,s8,s10,s12,s14,s16,s18,s20,s22,s24,s26,n2,n4,n6,n8,n10,n12,n14,n16,n18,n20,n22,n24,n26
a22;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.374,0.447,0.490,0.548,0.424,0.469,0.510,0.583,0.616,0.510,0.566,0.600,0.648,0.548,0.447,0.632,0.548,0.510,0.678,0.583,0.510,0.678,0.648,0.566,0.721,0.648
a24;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.374,0.490,0.447,0.548,0.469,0.424,0.510,0.616,0.583,0.510,0.600,0.566,0.648,0.374,0.283,0.447,0.374,0.374,0.510,0.424,0.374,0.510,0.510,0.447,0.566,0.510
a26;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0.374,0.374,0.447,0.374,0.374,0.424,0.510,0.510,0.447,0.510,0.510,0.566,0.490,0.374,0.548,0.447,0.469,0.616,0.510,0.424,0.583,0.600,0.510,0.648,0.566
s2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.200,0.141,0.141,0.141,0.245,0.245,0.200,0.245,0.245,0.283,0.566,0.424,0.583,0.447,0.510,0.648,0.510,0.374,0.548,0.600,0.469,0.616,0.490
s4;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.141,0.245,0.141,0.141,0.245,0.245,0.200,0.283,0.245,0.707,0.566,0.721,0.583,0.648,0.787,0.648,0.510,0.678,0.735,0.600,0.748,0.616
s6;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.245,0.141,0.141,0.245,0.141,0.245,0.283,0.200,0.245,0.583,0.447,0.566,0.424,0.548,0.648,0.510,0.374,0.510,0.616,0.490,0.600,0.469
s8;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.245,0.141,0.141,0.141,0.283,0.245,0.245,0.200,0.721,0.583,0.707,0.566,0.678,0.787,0.648,0.510,0.648,0.748,0.616,0.735,0.600
s10;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.200,0.283,0.141,0.141,0.245,0.245,0.648,0.510,0.678,0.548,0.566,0.721,0.583,0.447,0.632,0.648,0.510,0.678,0.548
s12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.283,0.200,0.141,0.245,0.141,0.245,0.510,0.374,0.510,0.374,0.447,0.566,0.424,0.283,0.447,0.510,0.374,0.510,0.374
s14;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.141,0.141,0.141,0.141,0.648,0.510,0.648,0.510,0.583,0.707,0.566,0.424,0.583,0.648,0.510,0.648,0.510
s16;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.245,0.141,0.245,0.141,0.787,0.648,0.787,0.648,0.721,0.849,0.707,0.566,0.721,0.787,0.648,0.787,0.648
s18;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.245,0.141,0.141,0.678,0.548,0.648,0.510,0.632,0.721,0.583,0.447,0.566,0.678,0.548,0.648,0.510
s20;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.200,0.600,0.469,0.616,0.490,0.510,0.648,0.510,0.374,0.548,0.566,0.424,0.583,0.447
s22;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.735,0.600,0.748,0.616,0.648,0.787,0.648,0.510,0.678,0.707,0.566,0.721,0.583
s24;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.616,0.490,0.600,0.469,0.548,0.648,0.510,0.374,0.510,0.583,0.447,0.566,0.424
s26;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748,0.616,0.735,0.600,0.678,0.787,0.648,0.510,0.648,0.721,0.583,0.707,0.566
n2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.200,0.141,0.141,0.141,0.245,0.245,0.200,0.245,0.245,0.283
n4;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.141,0.245,0.141,0.141,0.245,0.245,0.200,0.283,0.245
n6;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.245,0.141,0.141,0.245,0.141,0.245,0.283,0.200,0.245
n8;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.245,0.141,0.141,0.141,0.283,0.245,0.245,0.200
n10;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.200,0.283,0.141,0.141,0.245,0.245
n12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.283,0.200,0.141,0.245,0.141,0.245
n14;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.141,0.141,0.141,0.141
n16;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.245,0.141,0.245,0.141
n18;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.245,0.141,0.141
n20;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.200
n22;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141
n24;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141
