" ";j2,j4,j6,j8,j10,j12,j14,j16,j18,j20,j22,j24,j26,g2,g4,g6,g8,g10,g12,g14,g16,g18,g20,g22,g24,g26,f2,f4,f6,f8,f10,f12,f14,f16,f18,f20,f22,f24,f26,a2,a4,a6,a8,a10,a12,a14,a16,a18,a20,a22,a24,a26,s2,s4,s6,s8,s10,s12,s14,s16,s18,s20,s22,s24,s26,n2,n4,n6,n8,n10,n12,n14,n16,n18,n20,n22,n24,n26
j22;0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,1.158,1.149,1.020,1.010,1.208,1.086,1.068,1.068,0.927,1.140,1.131,1.000,0.990,0.548,0.447,0.490,0.374,0.583,0.616,0.510,0.424,0.469,0.648,0.566,0.600,0.510,1.049,1.077,0.938,0.970,1.068,0.927,0.949,0.990,0.837,0.949,0.980,0.825,0.860,0.735,0.825,0.632,0.735,0.812,0.616,0.707,0.812,0.616,0.707,0.800,0.600,0.707,0.616,0.600,0.490,0.469,0.648,0.548,0.510,0.510,0.374,0.583,0.566,0.447,0.424
j24;0,0,0,0,0,0,0,0,0,0,0,0,0.141,1.288,1.296,1.149,1.158,1.349,1.208,1.208,1.225,1.068,1.273,1.281,1.131,1.140,0.548,0.490,0.447,0.374,0.616,0.583,0.510,0.469,0.424,0.648,0.600,0.566,0.510,1.192,1.233,1.077,1.122,1.225,1.068,1.105,1.158,0.990,1.105,1.149,0.980,1.030,0.927,1.020,0.825,0.927,1.010,0.812,0.906,1.010,0.812,0.906,1.000,0.800,0.906,0.735,0.748,0.600,0.616,0.787,0.648,0.648,0.678,0.510,0.707,0.721,0.566,0.583
j26;0,0,0,0,0,0,0,0,0,0,0,0,0,1.296,1.288,1.158,1.149,1.349,1.225,1.208,1.208,1.068,1.281,1.273,1.140,1.131,0.632,0.548,0.548,0.447,0.678,0.678,0.583,0.510,0.510,0.721,0.648,0.648,0.566,1.166,1.192,1.049,1.077,1.192,1.049,1.068,1.105,0.949,1.077,1.105,0.949,0.980,0.849,0.927,0.735,0.825,0.927,0.735,0.812,0.906,0.707,0.825,0.906,0.707,0.800,0.748,0.735,0.616,0.600,0.787,0.678,0.648,0.648,0.510,0.721,0.707,0.583,0.566
g2;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.200,0.141,0.141,0.141,0.245,0.245,0.200,0.245,0.245,0.283,0.980,0.949,1.105,1.077,0.949,1.105,1.068,1.049,1.192,1.077,1.049,1.192,1.166,0.566,0.648,0.648,0.721,0.510,0.510,0.583,0.678,0.678,0.447,0.548,0.548,0.632,0.800,0.906,0.906,1.000,0.812,0.812,0.906,1.010,1.010,0.825,0.927,0.927,1.020,0.566,0.583,0.707,0.721,0.510,0.648,0.648,0.678,0.787,0.600,0.616,0.735,0.748
g4;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.141,0.245,0.141,0.141,0.245,0.245,0.200,0.283,0.245,1.030,0.980,1.149,1.105,0.990,1.158,1.105,1.068,1.225,1.122,1.077,1.233,1.192,0.510,0.566,0.600,0.648,0.424,0.469,0.510,0.583,0.616,0.374,0.447,0.490,0.548,0.707,0.800,0.825,0.906,0.707,0.735,0.812,0.906,0.927,0.735,0.825,0.849,0.927,0.583,0.566,0.721,0.707,0.510,0.678,0.648,0.648,0.787,0.616,0.600,0.748,0.735
g6;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.245,0.141,0.141,0.245,0.141,0.245,0.283,0.200,0.245,0.860,0.825,0.980,0.949,0.837,0.990,0.949,0.927,1.068,0.970,0.938,1.077,1.049,0.510,0.600,0.566,0.648,0.469,0.424,0.510,0.616,0.583,0.374,0.490,0.447,0.548,0.707,0.825,0.800,0.906,0.735,0.707,0.812,0.927,0.906,0.735,0.849,0.825,0.927,0.424,0.447,0.566,0.583,0.374,0.510,0.510,0.548,0.648,0.469,0.490,0.600,0.616
g8;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.245,0.141,0.141,0.141,0.283,0.245,0.245,0.200,0.917,0.860,1.030,0.980,0.883,1.049,0.990,0.949,1.105,1.020,0.970,1.122,1.077,0.447,0.510,0.510,0.566,0.374,0.374,0.424,0.510,0.510,0.283,0.374,0.374,0.447,0.600,0.707,0.707,0.800,0.616,0.616,0.707,0.812,0.812,0.632,0.735,0.735,0.825,0.447,0.424,0.583,0.566,0.374,0.548,0.510,0.510,0.648,0.490,0.469,0.616,0.600
g10;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.141,0.200,0.283,0.141,0.141,0.245,0.245,1.030,0.990,1.158,1.122,0.980,1.149,1.105,1.077,1.233,1.105,1.068,1.225,1.192,0.648,0.707,0.735,0.787,0.566,0.600,0.648,0.721,0.748,0.510,0.583,0.616,0.678,0.812,0.906,0.927,1.010,0.800,0.825,0.906,1.000,1.020,0.812,0.906,0.927,1.010,0.648,0.648,0.787,0.787,0.566,0.721,0.707,0.721,0.849,0.648,0.648,0.787,0.787
g12;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.283,0.200,0.141,0.245,0.141,0.245,0.860,0.837,0.990,0.970,0.825,0.980,0.949,0.938,1.077,0.949,0.927,1.068,1.049,0.648,0.735,0.707,0.787,0.600,0.566,0.648,0.748,0.721,0.510,0.616,0.583,0.678,0.812,0.927,0.906,1.010,0.825,0.800,0.906,1.020,1.000,0.812,0.927,0.906,1.010,0.510,0.548,0.648,0.678,0.447,0.566,0.583,0.632,0.721,0.510,0.548,0.648,0.678
g14;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,0.141,0.141,0.141,0.141,0.141,0.906,0.860,1.030,0.990,0.860,1.030,0.980,0.949,1.105,0.990,0.949,1.105,1.068,0.583,0.648,0.648,0.707,0.510,0.510,0.566,0.648,0.648,0.424,0.510,0.510,0.583,0.707,0.812,0.812,0.906,0.707,0.707,0.800,0.906,0.906,0.707,0.812,0.812,0.906,0.510,0.510,0.648,0.648,0.424,0.583,0.566,0.583,0.707,0.510,0.510,0.648,0.648
