" ";﻿j1;j2;j3;j4;j5;j6;j7;j8;j9;j10;j11;j12;g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12
a5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.14;0.1;0.2;0.61;0.81;0.9;0.9;0.89;0.81;0.89;1.2;0.89;0.89;1.28;1.27;1.27;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71
a6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.2;0.1;0.14;0.22;0.62;0.77;0.86;0.86;0.85;0.76;0.85;1.17;0.85;0.85;1.26;1.24;1.24;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66;0.66
a7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14;0.1;0;0.1;0.71;0.9;0.99;0.99;0.98;0.89;0.98;1.27;0.98;0.98;1.34;1.33;1.33;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75
a8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22;0.14;0.22;0.62;0.87;0.95;0.95;0.94;0.86;0.94;1.24;0.94;0.94;1.32;1.3;1.3;0.77;0.77;0.77;0.77;0.77;0.77;0.77;0.77;0.77;0.77;0.77;0.77
a9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.14;0.71;0.86;0.95;0.95;0.95;0.85;0.95;1.24;0.95;0.95;1.32;1.31;1.31;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71
a10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.71;0.9;0.99;0.99;0.98;0.89;0.98;1.27;0.98;0.98;1.34;1.33;1.33;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75
a11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.81;0.99;1.08;1.08;1.08;0.98;1.08;1.34;1.08;1.08;1.4;1.4;1.4;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81
a12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.41;0.45;0.45;0.46;0.42;0.46;0.83;0.46;0.46;0.99;0.92;0.92;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
f1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.1;0.14;0.1;0.14;0.71;0.14;0.14;0.9;0.81;0.81;0.57;0.57;0.57;0.57;0.57;0.57;0.57;0.57;0.57;0.57;0.57;0.57
f2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.14;0.1;0.7;0.1;0.1;0.91;0.8;0.8;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
f3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.14;0.1;0.7;0.1;0.1;0.91;0.8;0.8;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
f4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.8;0;0;1;0.9;0.9;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71;0.71
f5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.81;0.1;0.1;1;0.91;0.91;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64
